Name,ID,Zip,County,Address,Latitude,Longitude
"GlasBac, Nylon 6, 40 oz/yd2",ec35mxre,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 40 oz/yd2",ec3m54dj,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 40 oz/yd2",ec362fu4,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 40 oz/yd2",ec3c989r,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
40CAP50,ec3a4m1w,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
40CNC159SP,ec383csf,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
"Steel Stud, Track, and Joist Framing Systems",ec38bc4a,30223,Spalding,"777 Greenbelt Parkway, Griffin, GA 30223",33.23552,-84.23742
Aluminum Window Systems,ec3e29tf,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Mix 1539124,ec3fx8t4,30534,Dawson County,"171 Easy St, Dawsonville, GA 30534, USA",34.367902,-84.04794
30JNC610SP,ec3jue5a,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
Mix 1539126,ec3z90d7,30534,Dawson County,"171 Easy St, Dawsonville, GA 30534, USA",34.367902,-84.04794
"GlasBac, Nylon 6, 20 oz/yd2",ec34ueka,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
"GlasBac®RE, Nylon 66, 20 oz/yd2",ec30fynd,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
Multilayer SPC,ec37w37s,30736,Catoosa County,"Ringgold, GA 30736, USA",34.9159099,-85.1091173
EcoWorx® Carpet Tile with EcoSolution Q® Face Fiber,ec3mmpd4,,,,,
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",ec3kr8qd,30601,Clarke County,"425 Athena Dr, Athens, GA 30601, USA",33.9793586,-83.3339328
507FS,ec3theex,30324,Fulton,"740 Lambert Drive Northeast, Atlanta, GA 30324",33.81352,-84.36403
rEvolve® thermoplastic polyolefin modular carpet backing,ec3zaqam,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
Achieve Sheet Flooring 8 mm,ec3fyg8d,30188,Cherokee,"108 Arnold Mill Road, Woodstock, GA 30188",34.10055,-84.51598
EF Contract LVT 5mm,ec34zp27,30720,Whitfield County,"1502 Coronet Dr, Dalton, GA 30720, USA",34.7991546,-84.9654175
J+J Flooring Group LVT (3mm),ec35mzap,30721,Whitfield,"818 J & J Drive, Dalton, GA 30721",34.78665,-84.94676
Cortega® Ceiling Panels - Mineral Fiber,ec35mxf9,,,,,
Interface medium weight,ec3uu0pt,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"5/8"" ToughRock® Lite-Weight Fire-Rated Gypsum Panel",ec3gpgte,,,,,
"5/8"" ToughRock® Fireguard X® Mold-Guard™",ec3b7dje,,,,,
5/8” ToughRock® Fireguard X® Gypsum Panel,ec3f2txk,,,,,
"1/2"" ToughRock® Lite-Weight Gypsum Board",ec32p7es,,,,,
"1/2"" ToughRock® Mold-Guard™ Gypsum Panel",ec3zqdjq,,,,,
Luxury Vinyl Tile,ec30nyn5,30736,Catoosa County,"Ringgold, GA 30736, USA",34.9159099,-85.1091173
ClassicBac® Broadloom Carpet with EcoSolution Q® Face Fiber,ec3axp0e,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
ClassicBac® Broadloom Carpet with Solution Q® or Solution Q Extreme® Face Fiber,ec3aympe,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® ES Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3bc4jg,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® ES Carpet Tile with EcoSolution Q® Face Fiber,ec3ghdhf,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
"NexStep , Nylon 66 styles of modular carpet",ec31f7tr,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"FLOR® modular carpet on GlasBac, PET styles (Fedora)",ec3sfmm1,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
"CushionBac RenewTM, Nylon 66 styles of modular carpet",ec3pst06,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 407 g/m2",ec3uqdqw,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
EPBL with Solution Q or Solution Q Extreme,ec3tu246,30120,Bartow,"5225 Highway 411 Northwest, Cartersville, GA 30120",34.2201,-84.86562
Tufted nylon broadloom carpet on Weldlok Backing,ec34xd2r,30705,Murray,"1149 Duvall Road, Chatsworth, GA 30705",34.79256249999999,-84.7804375
EcoWorx Carpet Tile with Solution Q® or Solution Q Extreme® Face Fiber,ec3rw33e,,,,,
EcoWorx Carpet Tile with EcoSolution Q Face Fiber,ec3f8mqc,,,,,
Tufted nylon broadloom carpet on Unibond Plus Backing,ec31s403,30705,Murray,"1149 Duvall Road, Chatsworth, GA 30705",34.79256249999999,-84.7804375
Aluminum Entrance Systems,ec3c60rw,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
"Blowing Wool Fiberglass Insulation- InsulSafe® SP, TrueComfort®, UltraComfort®, OPTIMA®, InsulSafe®",ec3f5umt,,,,,
Aluminum Window Wall Systems (framing only),ec3jts2s,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Aluminum Storefront Systems,ec3aysa9,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Kinetex® Textile Composite Flooring,ec34w1sd,30720,Whitfield,"1501 Coronet Drive, Dalton, GA 30720",34.79824,-84.9664
Nexus® Modular Carpet Tile,ec36s6gz,30720,Whitfield,"1501 Coronet Drive, Dalton, GA 30720",34.79824,-84.9664
Continuous Dyed Nylon Type 6 Broadloom - mid weight,ec3xwsjk,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
Broadloom Carpet,ec3btkcn,,Whitfield County,"Dalton, GA, United States",34.761451721191406,-84.97218322753906
Armstrong Cleanroom FL & VL Ceiling Systems,ec31bzyc,31206,Macon-Bibb County,"4520 Broadway, Macon, GA 31206",32.77903,-83.65564
Broadloom Carpet,ec3rm31r,,Whitfield County,"Dalton, GA, United States",34.761451721191406,-84.97218322753906
StrataWorx® Carpet Tile with Nylon-6 Face Fiber,ec32rct4,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Performance Broadloom Carpet with Solution Q® or Solution Q Extreme®,ec38ted8,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Carpet Tile with Needlebond Polyester Face Fiber Functional,ec3ssg0r,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® Carpet Tile with EcoSolution Q® Face Fiber,ec3qxdzm,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Aluminum Curtain Wall Systems,ec3hy22g,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Aluminum Window Wall Systems,ec3cs43w,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face Fiber,ec3cnp4r,,,,,
609-1,ec3ga7gp,30009,Fulton County,"695 Sims Industrial Blvd, Alpharetta, GA 30009, USA",34.0584479,-84.3072397
EcoLogix® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3s6uqg,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® Carpet Tile with EcoSolution Q® Face Fiber,ec3057qt,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
"EcoLogix® Carpet Tile with Nylon-6,6 Face Fiber",ec3j7gbd,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® Carpet Tile with Solution Q® or Solution Q Extreme® Face Fiber,ec3q95ym,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoLogix® ES Carpet Tile with EcoSolution Q® Face FiberI,ec3gfkk1,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Performance Broadloom Carpet with Solution Q® or Solution Q Extreme®,ec3d4ae1,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
EcoWorx® Performance Broadloom Carpet with EcoSolution Q® Face,ec30mqbh,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
EcoWorx® Performance Broadloom Carpet with Solution Q® or Solution Q Extreme®,ec3ay1zr,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Residential Broadloom Carpet with Polyester Face Fiber,ec3nb047,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Residential Broadloom Carpet with Nylon-6 Face Fiber,ec3j9but,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Carpet Tile with Nylon-6 Face Fiber,ec3yudbu,,Bartow County,"Bartow County, GA, USA",34.266062500000004,-84.8150625
StrataWorx® Carpet Tile with Nylon-6 Face Fiber,ec3n563k,,,,,
"ClassicBac® Broadloom Carpet with Nylon-6,6 Face Fiber",ec3sh1qb,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
"EcoWorx® Performance Broadloom Carpet with Nylon-6,6 Face",ec3fuzm3,30120,Bartow County,"1061 West Ave, Cartersville, GA 30120, USA",34.1546155,-84.822739
EcoWorx® Performance Broadloom Carpet with Solution Q® or Solution Q Extreme®,ec390n7j,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
EcoWorx® PLATINUM Carpet Tile with 16oz. EcoSolution Q® Face,ec3n6d64,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
40SAC131,ec3mmrk3,"30071,30340",Gwinnett,"Weaver Way, Atlanta, GA",33.92109,-84.2391
#name_is_not_extracted,ec33f6k1,,Whitfield County,"Dalton, GA, United States",34.761451721191406,-84.97218322753906
Modular carpet,ec3q2ap9,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"5/8"" DensDeck® Prime Roof Board",ec37n2q6,,,,,
"1"" DensGlass® Shaftliner Gypsum Panel",ec3tzadm,,,,,
Ecoworx®,ec3nnw8c,,,,,
Paratherm® NH Roof Insulation,ec39c53x,,,,,
rEvolve II,ec3xx186,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
409-2,ec3p9f0p,30009,Fulton County,"695 Sims Industrial Blvd, Alpharetta, GA 30009, USA",34.0584479,-84.3072397
Kinetex Textile Composite Flooring,ec3azwgg,30721,Whitfield,"818 J & J Drive, Dalton, GA 30721",34.78665,-84.94676
E307FS,ec3e8sak,30318,Fulton,"1430 Marietta Boulevard Northwest, Atlanta, GA 30318",33.79411,-84.43239
35CAC138,ec3eq2n8,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
40AAP0016,ec3zaqp3,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
Styrofoam Insulation,ec305p5j,30721,Whitfield County,"Prosser Dr SE, Georgia 30721, USA",34.6333449,-84.930366
EcoWorx® Carpet Tile with Needlebond Polyester Face Fiber,ec31ph7t,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
EcoWorx® PLATINUM Carpet Tile with EcoSolution Q® Face,ec3jrce2,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Aluminum Curtain Wall Systems,ec358qh6,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3qk455,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Walk-Off Mat with Polyester Face Fiber,ec3gnf1r,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® GOLD Carpet Tile with EcoSolution Q® Face,ec39epq0,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
"EcoWorx® Carpet Tile with Nylon-6,6 Face Fiber",ec3pkmz2,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face Fiber,ec33kyxf,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
